,Text,Label
80,Hệ thống vòi củ phiền xử dụng Mặc Nhân viên phục nhưng KS chuẩn 5 trang thiết bất tiện Với giá KM đả 131 USD đêm kèm tệ ,-1
81,Vòi tắm cũ chảy Ăn ngon Chỗ trời trí đẹp Nói ching nổi trội du ấn tượng định tiếp Nhân viên thân thiện tận tinh ,-1
82,đồ ngon tươi ép phở bò cháo trứng bắc thảo,0
83,Thái độ phục vụ Tiện nghi thoải mái Ăn ngon,1
84,Hơi ồn Nhân viên nhiệt tình mến ,0
85,Phòng hơi Bữa ok Nhân viên chuyên nghiệp,0
86,Phòng thang máy cũ Nhân viên phục vụ Nhung lễ tân Hay ca tối phục vụ bàn ,0
87,Nhân viên tuyệt vời Đến dịp sinh nhật sạn cb bánh kem chúc mừng cảm ấm áp chắn lại,1
88,Giường thoải mái bữa đồ Việt khẩu vị đồ hơi Ks kiểu cổ điển phòng tắm ks ,0
89,Phòng cũ đồ cũ rèm cửa sổ hỏng đầu tư bảo trì thiết đồ phòng ,-1
90,Bồn cầu toilet vòi xịt Giường thoải mái Phòng sạch sẽ,0
91,Hotel phòng hút thuốc phiền toái khách,-1
92,Bồn tắm hơi trang thiết vệ sinh hơi cũ Hệ thống bể bơi vô đẹp thoải mái khu spa tuyệt vời,1
93,Check in hơi Gương bố trí đối diện giường ngủ cấm kỵ Vị trí view tuyệt vời tiện nghi hiện đại Phòng nghỉ sạch Bể bơi sân thượng hơi sạch ngắm cảnh ,1
94,Vách kính cửa sảnh tiếp nhầm lẫn đi đập mặt kính bảng cửa va mặt kính Chỗ thoải mái,0
95,Thanh toan truoc Sach se yen tinh,0
96,Phòng tắm Giường êm,0
97,Không gian hiện đại,0
98,Facility thực đáp ứng nhu cầu Sự sạch gian đẹp,0
99,Phong sach se dua don san bay tot,1
100,Quá tồi Ko Đánh lừa hàng,-1
101,Internet yếu Ở phòng mò tận cửa bắt sóng Phòng xinh tiện nghi phòng tắm tuyệt nhân viên phục vụ tận tâm nhiệt tình ,1
102,Tất tuyệt vời,0
103,Không chỗ đậu xe gởi tiền khu gởi xe mắc sạn tiền phí gởi Bữa ngon phòng hình đẹp Nhân viên nhiệt tình ,1
104,Mình phòng giá rẻ cảm giác tuyệt vời phòng sạch nội thất lịch lãm,1
105,Cải thiện Ăn dở nghèo nàn,-1
106,Nhân viên nhiệt tình lắm Vì Việt Nam ,0
107,Nhận viên dọn ko bổ xung thay đồ Thoải mái,0
108,Chỗ hơi chật chội Vào thể chỗ Nên vắng muộn 8 am Phòng sạch tiện nghi giá tiền Nhân viên ngoan niềm nở ,1
109,Mình đội ngũ nhân viên tai Ciao Sai Gon Tuy book phòng cảm nhiệt tình Ciao Ngọc Châu Quản lý KS 1 cám ơn Châu nhân viên giúp hội trải nghiệm tuyệt vời thân thiện VN sao,0
110,Tiếng ồn ban đêm công trình kế ngủ Tuy nhiên ko lỗi sạn Hồ bơi phao bơi khu vực trẻ Giường êm rộng tiện nghi hiện đại ,0
111,khách sạn sân bay,0
112,ăn món Nhỏ đẹp,0
113,Phòng sạch tiện nghi ,1
114,Phòng tiện nghi Bài trí đẹp mắt hài hòa Trang thiết hiện đạu Nhân viên lịch chuyên nghiệp ,1
115,Cach trang tri phong lam trat troi toilet chay nuoc rat cham va bi nghet Nhan vien niem no khach san moi gan san bay tan son nhat,0
116,N ­ ước nóng tắm vô bất tiện Ăn lựa vị trí sạn nội thất phòng sạch ,0
117,Phòng Bữa ks đẹp View sông đẹp,1
118,Dich vu an tuyệt vời,1
119,Buổi ngon Lễ tân sạn niềm nở thể Việt Nam Hy vọng đừng phân biệt ,0
120,Bữa món nguội Nên thùng rác phòng Khách sạn sạch Việc giày sạn hơi phiền chút sạn sạch Vị trí đi thuận tiện trung tâm thành phố Phòng vệ sinh sạch ổn định thiết vệ sinh Nhân viên nhẹ nhàng vui vẻ ,0
121,Cach am phong khong tot Nghe thay tat ca tieng on cua phong tren va phong Ben canh,-1
122,Thật ưng nghỉ sạn nhân viên phục vụ tiện nghi ks đem thoải mái enjoy dịp hcm ks La Jolie Hotel Spa ,1
123,Khăn tắm khăn mặt cũ Vị trí trung tâm tiện lợi,0
124,Bữa ngon nhân viên thân thiện ks địa ngon ,1
125,Bữa ngon nhân viên phục vụ xinh bụng ,1
126,Có đồ hơi lộn xộn Không gian thân thiện tụ hội đám trò cởi mấy bé nhân viên Có 1 gv tiếng Anh trò thú vị nâng trình tiếng Anh Đồ vặt đường Tôn Đản cực View Saigon đẹp bàn,1
127,thái độ phục vụ nhân viên tốt,0
128,Giường ngủ hơi nhỏ,0
129,Vòi tắm nóng Hơn chỗ Có chỗ xe máy,0
130,Bên sạn gọi điện xác minh hàng nỗi gọi mấy xác phòng Khi hotel dắt hotel phòng tệ bẩn Cả đêm ngủ ngứa Hết phòng kêu phòng app booking gọi Làm tâm,-1
131,Phòng chật Giá trang thiết Vi trí trung tâm thành phố Nhân viên nhiệt tình ,0
132,Không thang máy Sạch,0
133,nước nóng tầng chảy yếu gần khu vui tham quan phòng sạch đẹp nhân viên cực kỳ nhiệt tình thoải mái,1
134,Bỏ giày tầng 1 Phòng sạch sẽ,0
135,Sự ồn ngoài,0
136,nhân viên phục vụ tận tình khách sạn sạch sẽ,1
137,Vì gia đình KS Valentine s KS món quà chương trình cặp đôi Nhân viên thân thiện Thiết vệ sinh tắm tiện nghi tốt,1
138,Khách sạn vẻ cũ kĩ nhân viên lễ tân nam vui vẻ,-1
139,Nhân viên thân thiện nhiệt tình Phòng thoáng sạch sẽ,1
140,Nhà vệ sinh hơi mùi Phòng sạch nhân viên nhiệt tình thân thiện,0
141,Giường thoải mái chịu,0
142,Nhân viên nhiệt tình chỗ ồn Địa thuận tiện trung tâm phố đi Đây hostel trang trí đẹp ở,1
143,Nhân viên nice đêm khuya 1 h cười đùa to gọi điện nhắc Tuy nhiên khắc phục đc Ở tầng 1 bar kính ko âm tiếng ồn tối Hy vọng sạn khắc phục xếp phòng đc tiếng ồn Giường thoải mái thiết kế hiện đại Có quán đó,0
144,Nhân viên thân thiện lắm nhiệt tình giúp đỡ hàng Địa tuyệt vời hợp giải trí đêm khu phố Tây Bùi Viện Đề Thám Đi dàng thuận tiện ,0
145,Khu vực ban công roof top cảm giác ấm cúng,1
146,Giường rộng rãi Bất tiện xíu tắm tràn khắp sàn phòng tắm ,0
147,Trang trí đẹp nhân viên nhiệt tình lễ phép hàng Toàn trai xinh gái đẹp ,1
148,Toilet hơi phòng nghỉ Nhưng tuyệt Nhân viên thương,0
149,Toilet hơi đẹp lắm Good job Tốt,0
150,Nhân viên phục vụ thương Phòng sạch yên tĩnh Cửa luc tiếng hơi to khắc phục Ngoài tuyệt vời,1
151,Bữa hạn chế ngon lắm Phòng tắm toilet rộng rãi sạch sẽ,0
152,cầu thang hẹp di hành lý hơi vất vả thích gian SiGoong nhân viên thân thiện gian sạch ,0
153,Hơi khu vui đi sạch nhân viên nhiệt tình hợp giá tiền,1
154,giường chăn ga sạch xinh,1
155,Cần quản lý dọn phòng phòng tiện tiền Tôi tiền phòng My money is stolen by the staff Gia đình treo biển phiền nhân viên tiện phòng lục đồ 40 000 bàn vợ 1 tờ 500 000 túi xách Sự cố hỏng chuyến đi gia đình My family hangs the label No disturbing but a staff got into the room and took 40 000 VND of my children on the table and 500 000 VND in my wife s bag That ruined my family trip ,-1
156,Cực kỳ buồn thái độ nhân viên lễ tân ban đêm Khi phòng đêm Mặc phòng President nhân viên khinh Ngoài thèm phòng khăn phòng nghỉ,-1
157,Nhân viên đôi nồng hậu nhiệt tình chu đáo Nhưng đôi mặt gửi vàng Trong kỳ đêm Rex 3 Cảm ơn Bữa ngon Buổi tối ngắm phố đi đông vui ban công lầu 5 đẹp ,1
158,Phải tiền 30 phòng tiền cọc Trang trí sạn sạn chia phòng mê cung lạc đường ,-1
159,Phia ben wing cu chua upgrade rat te ve phong tam Toi chuyen phong khu moi va rat happy Thank you and I will come back Vi tri va su dep de hao nhoang ben ngoai cua hotel Nhan vien rat tu te lich su,1
160,Thiết bồn tắm rò Không gian phòng rộng rãi giường sạch thoải mái ,1
161,Nên món phòng đọc sách Phòng sạch giường thoải mái nhân viên thương ,0
162,Bữa ngon thức đa dạng phong phú Vị trí đẹp roof top bar tuyệt ,1
163,Giá phòng Pemium tầm bể bơi sạch ,0
164,Wf chán thái độ nhân viên đôi ko nghiêm túc,-1
165,Booking gửi chậm hotel Tôi yên tĩnh nhạc cổ đien dịu giường rộng êm ,1
166,Check in hơi Tôi đợi thủ tục 15 phút Hy vọng Tất tuyệt vời,0
167,Vị trí tuyệt vời ,0
168,Nhân viên nhiệt tình phòng tiện nghi sạch ,1
169,Phòng cửa sổ vệ sinh thiết kế khoa học bất tiện chảy lênh láng dùng,-1
170,Vị trí thuận tiện nhân viên thân thiện ,1
171,Phong 174 view Mình view tường Bua rat ngon Mon an da dang,0
172,Loi di ben rat de bi lac neu khong tinh mat Nhan vien tien nghi,0
173,Trong quảng cáo hồ bơi phòng tập thể dục thực chất thi tiền Tiếp tân bảo vệ tuyệt vời ,0
174,an ninh va sach se,1
175,Gan san bay that kho chiu bi tai xe taxi than van la den phien lau ma chay khong duoc bao nhieu tien co the day chi la van de cua tai xe khong lien quan den ks Phong sach dep tien nghi thoai mai dang gia tien ,1
176,Máy lạnh lạnh Sạch sẽ,0
177,Bữa ngon phong phú vệ sinh sạch ,1
178,Không dọn phòng chiều bổ sung Bữa tuyệt ,0
179,Phòng tuyệt đẹp bàn ngon Sạch thơm Không chê,1
180,Khong duoc hut thuoc phong Cam giac yen tinh thoai mai,0
181,Yen tinh va thoai mai su than thien cua nhan vien,1
182,các món thể phong phú chút thi tuyệt địa trung tâm thành phố đi du lịch an uống thi tiệnnghi giá phòng kg nhân viên nhiệt tình giúp đở ,1
183,khi hút thuốc đường nếu bố trí phòng hút thuốc tầng phòng sạch nhân viên nhiệt tình một chỗ giá ,1
184,Rất nhân viên cực kỳ nhiệt tình vui vẻ Ăn uống đi tiện lợi Chắc chắn lại,1
185,phòng sạch phòng tắm tiện nghi áp lực nhân viên cực kì thân thiện nhiệt tình ,1
186,Thức gọi phòng ngon Giường nằm thoải mái yên tĩnh,0
187,nhận phòng hình book giận ,-1
188,Việc giường ko rèm thể ko thoải mái wifi chất hơi kém Điểm ko ổn phòng dorm hòa 6 tối 8 hôm trưa nghỉ nóng phòng 8 1 quạt Bữa ko đặc sắc Điểm thuận lợi chỗ nghỉ trung tâm thành phố thể đi tham quan nổi tiếng uống thuận lợi Giường nằm dọn dẹp sạch hàng nội quy tuân thủ văn hóa vệ sinh tương đối rộng rãi sạch ,0
189,Vào hẻm ko oto Ko cửa sổ trời Vệ sinh ko tivi Sach mới,0
190,Nhân viên thân thiện ks yên tĩnh nhiên hẻm xe ô tô ,0
191,Cách âm tiếng hành lang tầng ảnh hưởng phòng Địa trung tâm Sài Gòn nổi tiếng ,0
192,Không thang máy Nhân viên nhiệt tình thân thiện,0
193,Điều hòa nhiệt độ động tắt phòng âm ồn cửa sổ phòng bí bách Giường thoải mái phòng rộng,0
194,Lối đi hơi yên tĩnh Khách sạn sạch trung tâm thành phố thuận tiện đi nhân viên nhiệt tình,1
195,Bữa ngon Nhân viên thân thiện phục vụ Phòng lầu hơi ồn Ngoài phàn nàn ,1
196,ăn hơi món phục vụ phòng ốc rộng rãi sạch,1
197,Sự chuyên nghiệp Giường thoải mái phòng sạch yên tĩnh Nhân viên phục vụ thân thiện ,1
198,Cần chỗ đồ rộng khu DOM nếu phục vụ kem đánh bàn chải Tuy nhiên nhân viên cung Bữa giá giá tiền Chỗ sạch Nhân viên nhiệt tình Vị trí tuyệt vời Từ giường cửa sổ thành phố quang cảnh ,1
199,Cách âm Tiếng ồn Các phòng cạnh ồn Khách sạn decor thương Sạch yên tĩnh ngõ ,0
200,Wifi yếu thể phòng,0
201,Không mái che mưa Phòng rộng rãi,0
202,Thái độ nhân viên tôn trọng hời hợt,0
203,Phòng hòa hỏng sổ hỏng Phòng ok hòa hỏng phòng khác,0
204,Giá rẻ khu vực xung quanh bữa tương đối nhân viên thân thiện,1
205,Bữa phong phú đèn đọc sách giường Phòng sạch thoải mái Nhân viên nhiệt tình Vị trí thuận lợi di chuyển,1
206,wifi hầu phòng mùi nhân viên dọn phòng to ồn Giường thoải mái,-1
207,Đừng quảng cáo 3 booking Làm nhầm Đạt 2 Thiếu hàng cà phê Ks toanh Nội thất đẹp,0
208,phòng tắm bồn tắm bất tiện lưu trú trẻ Phòng đẹp trang trí hoa nhã,0
209,Khách sạn quảng cáo 3 ,0
210,Nhân viên nhiệt tình Phòng ốc đẹp sạch sẽ,1
211,Nhân viên vui vẻ phòng chỗ xe an toàn bữa món,-1
212,Toleit sạch đẹp Phòng hơi chật hẹp Bữa nghèo nàn ,0
213,bữa ngon giường ngủ thoải mái chịu,1
214,Giường thoải mái Đồ hợp lắm,0
215,Địa KS thuận tiện đi Nếu đi nghỉ ngắn uống mua sắm quanh TTTM hàng Q1 3 đi taxi Nội thất phòng sơ sài phòng giường tủ quần áo thể treo Phòng tắm sạch nhân viên dọn cẩn thận khăn bẩn khăn lau Mình đơn giặt đồ nhân viên chiều hôm hẹn mai gọi lễ tân 3 đồ phản hồi ,-1
216,Phòng ốc sạch Mặt chật hình quảng cáo 1 tiếng sạn nổi 1 ly lọc welcome drink nhân viên rảnh Dịch vụ ủi ,-1
217,Phòng sạch vier đẹp nhân viên nhiệt tình chu đáo wifi hơi yếu bữa phong phú,0
218,Mùi hôi thoang thoảng phòng,0
219,Nệm êm giường sạch tiếp đón nồng hậu Dàn lễ tân nhiệt tình tuyệt Không hàng gọi món lỡ bữa ,1
220,Giường thoải mái Sạch Thái độ nhân viên Không thang máy Phòng cửa sổ,0
221,Phòng đẹp sạch ban công trồng xanh hoa đẹp Có leo thang lầu hơi mệt ,0
222,Khách sạn khu vực trung tâm phòng sạch thoáng mát nhân viên sạn nhiệt tình thân thiện hài ,1
223,Nhân viên tiếp đón vui vẻ thân thiện Khách sạn tương đối tiện nghị thuận tiện đi Đặc biệt phòng phòng thể Thang máy hơi phòng dọn dẹp lau chùi kỷ góc giường ,0
224,Khách sạn trung tâm Nhiều hàng ngon rẻ Khu phố nhộn nhịp suốt đêm Nhân viên nhiệt tình vui vẻ Đặc biệt Tú Chất tẩy rửa vệ sinh mùi hơi chịu,0
225,Bữa phục vụ nhiệt tình chỗ nghỉ trung tâm Sài gòn Vệ sinh phòng sạch lắm ,1
226, Nằm trung tâm 1 du lịch uống Nhân viên nhẹ nhàng nhiệt tình Chỗ mượn xe máy Phòng hơi bí,0
227,Anh Trung lễ tân sạn nhiệt tình giúp đỡ han khuyên Tôi phòng 302 phòng 1 minibar bố trí ghế ngồi,0
228,Bữa món nấu ngon Nhân viên vui vẻ nhiệt tình Vị trí thuận tiện Nhà tắm hơi Đặt booking phòng deluxe tầm quang cảnh ,0
229,Các nhiệt tình yêu phòng sạch thuận lợi đi Wc phòng e rèm kính hợp 1 ạ,1
230,Bữa ngon khẩu vị miền Bắc Nhân viên quản lý ks vui vẻ niềm nở chu đáo nghỉ Rất phong phục vụ Chỉ 1 ko hài hòa phòng hỏng ko mát lạnh quá,0
231,Nhân viên thân thiện nhiệt tình Phòng sạch máy sấy tóc Đèn tối hình cháy 1 đen phòng bí thoát mùi ,0
232,Khách sạn iường êm nha nhân viên nhiệt tình thương vui vui ,1
233,Vị trí đẹp Nhân viên thân thiện cởi Khách sạn thang máy,0
234,Giường thoải mái Thái độ phục vụ tận tình Tuy nhiên toilet dao cạo râu Giá phòng hơi ,0
235,may lanh phong bi hu tu luc check in 14 h00 co bao nhan vien kiem tra nhung khong co len kiem tra toi toi tro lai khach san la gan 12 h00 dem luc may lanh van khg duoc sua bao le tan thi duoc cau tra loi la de tho len kiem tra toi tho may lanh bao voi le tan la may lanh bi hu tthi luc moi doi toi phong khac va luc la 12 h00 dem roi toi co bao ve van de may lanh hu thi le phai nguoi kiem tra luc toi se khg bao gio lai khach san them 1 lan nua ,-1
236,Bữa very good Bị phiền,0
237,Khách Sạn trung tâm Nhân viên nhiệt tình Giá hơi 1 ks 3 sao,0
238,Giường đệm thoải mái Nhân viên nhiệt tình chuyên nghiệp Giá dịch vụ giặt đồ hơi cao,0
239,Chả thik j Phòng nghỉ kỳ vọng,-1
240,Nhan viên phục vu Hơi ồn san ,0
241,Khách sạn nằm trung tâm thuận lợi đi uống ,0
242,Bữa trà chiều tuyệt vời Nhưng diện tích phòng đồ thiết kém quảng cáo mạng Vòi tắm vòi hoa sen yếu Diện tích phòng chật vòi tắm hoa sen chảy yếu ,-1
